2022-05-18 12:05:711 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:60 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:344 INFO  DurationOfStayPage :31 - Select the Stay time length [[[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//label]]
2022-05-18 12:05:440 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:686 INFO  WorkTypePage :32 - select job type list[[[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //div[@class='govuk-radios']//div//label]]
2022-05-18 12:05:753 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (e1d4962b592350eceeb61a53537b1b9a)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:739 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 12:05:611 INFO  StartPage :26 - click On Start ButtonStart now
2022-05-18 12:05:822 INFO  SelectNationalityPage :29 - select country [[ChromeDriver: chrome on WINDOWS (19ea3d9cb8620005f946ebd76d076984)] -> id: response]
2022-05-18 12:05:903 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (19ea3d9cb8620005f946ebd76d076984)] -> xpath: //button[normalize-space()='Continue']]
